Age EnvironmentSatisfaction JobInvolvement JobLevel JobSatisfaction MaritalStatus MonthlyIncome TotalWorkingYears YearsInCurrentRole YearsAtCompany MonthlyIncomeNorm Attrition
32 3 3 1 3 0.0 3038 8 4 5 0.10699219573929551 1.0
37 1 3 3 2 0.0 7642 10 0 10 0.34976798143851506 1.0
30 3 3 2 1 1.0 3072 12 9 12 0.10878506644167897 1.0
38 4 2 2 4 0.0 4028 8 7 7 0.15919637207340223 1.0
33 4 3 2 4 1.0 5505 6 2 6 0.23708078464458976 1.0
43 4 3 2 3 1.0 5679 10 7 8 0.24625606412149337 1.0
32 2 3 2 2 0.0 6220 10 4 10 0.27478380088588905 1.0
31 2 3 1 3 0.0 3477 6 2 5 0.1301413203965408 1.0
52 4 3 2 3 0.0 3149 9 2 5 0.11284539126766505 1.0
44 4 4 4 4 0.0 13320 23 11 12 0.6491773887365535 1.0
29 1 2 1 4 1.0 2532 8 3 4 0.08031006116852984 1.0
33 3 3 1 4 0.0 2436 8 4 5 0.0752478380088589 0.0
31 2 1 2 3 0.0 4559 4 2 2 0.1871967939253322 0.0
37 2 3 3 4 1.0 12185 10 8 10 0.5893271461716937 1.0
38 4 3 1 3 0.0 3306 7 0 0 0.12112423539337693 1.0
33 4 3 1 2 0.0 2756 8 7 8 0.09212191520776207 1.0
